name,grid_columns,grid_rows,height
bin_1x1x6,1,1,6
bin_1x2x6,1,2,6
bin_1x3x6,1,3,6
bin_1x4x6,1,4,6
bin_1x5x6,1,5,6
bin_2x2x6,2,2,6
bin_2x3x6,2,3,6
bin_2x4x6,2,4,6
bin_2x5x6,2,5,6
bin_3x3x6,3,3,6
bin_3x4x6,3,4,6
bin_3x5x6,3,5,6
bin_4x4x6,4,4,6
bin_4x5x6,4,5,6
bin_5x5x6,5,5,6
bin_1x1x12,1,1,12
bin_1x2x12,1,2,12
bin_1x3x12,1,3,12
bin_1x4x12,1,4,12
bin_1x5x12,1,5,12
bin_2x2x12,2,2,12
bin_2x3x12,2,3,12
bin_2x4x12,2,4,12
bin_2x5x12,2,5,12
bin_3x3x12,3,3,12
bin_3x4x12,3,4,12
bin_3x5x12,3,5,12
bin_4x4x12,4,4,12
bin_4x5x12,4,5,12
bin_5x5x12,5,5,12
bin_1x1x18,1,1,18
bin_1x2x18,1,2,18
bin_1x3x18,1,3,18
bin_1x4x18,1,4,18
bin_1x5x18,1,5,18
bin_2x2x18,2,2,18
bin_2x3x18,2,3,18
bin_2x4x18,2,4,18
bin_2x5x18,2,5,18
bin_3x3x18,3,3,18
bin_3x4x18,3,4,18
bin_3x5x18,3,5,18
bin_4x4x18,4,4,18
bin_4x5x18,4,5,18
bin_5x5x18,5,5,18
